id;uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;ID cidade;distancia_txt;dist_value;duracao_txt;duracao_value;status
1;AC;CRUZEIRO DO SUL;ACRE;AC 1200203;BELA VISTA DE GOIÁS;GO;AC 1200203/BELA VISTA DE GOIÁS;3.554 km;3554262;2 dias 0 horas;172086;OK
2;AC;MÂNCIO LIMA;ACRE;AC 1200336;BELA VISTA DE GOIÁS;GO;AC 1200336/BELA VISTA DE GOIÁS;;;;;ZERO_RESULTS
3;AC;MARECHAL THAUMATURGO;ACRE;AC 1200351;BELA VISTA DE GOIÁS;GO;AC 1200351/BELA VISTA DE GOIÁS;;;;;ZERO_RESULTS
4;AC;PORTO WALTER;ACRE;AC 1200393;BELA VISTA DE GOIÁS;GO;AC 1200393/BELA VISTA DE GOIÁS;;;;;ZERO_RESULTS
5;AC;RODRIGUES ALVES;ACRE;AC 1200427;BELA VISTA DE GOIÁS;GO;AC 1200427/BELA VISTA DE GOIÁS;;;;;ZERO_RESULTS
6;AC;FEIJÓ;ACRE;AC 1200302;BELA VISTA DE GOIÁS;GO;AC 1200302/BELA VISTA DE GOIÁS;3.282 km;3281583;1 dia 20 horas;157510;OK
7;AC;JORDAO;ACRE;AC 1200328;BELA VISTA DE GOIÁS;GO;AC 1200328/BELA VISTA DE GOIÁS;;;;;ZERO_RESULTS
8;AC;TARAUACÁ;ACRE;AC 1200609;BELA VISTA DE GOIÁS;GO;AC 1200609/BELA VISTA DE GOIÁS;;;;;ZERO_RESULTS
9;AC;MANOEL URBANO;ACRE;AC 1200344;BELA VISTA DE GOIÁS;GO;AC 1200344/BELA VISTA DE GOIÁS;3.146 km;3146094;1 dia 18 horas;150860;OK
10;AC;SANTA ROSA DO PURUS;ACRE;AC 1200435;BELA VISTA DE GOIÁS;GO;AC 1200435/BELA VISTA DE GOIÁS;;;;;ZERO_RESULTS
11;AC;SENA MADUREIRA;ACRE;AC 1200500;BELA VISTA DE GOIÁS;GO;AC 1200500/BELA VISTA DE GOIÁS;;;;;ZERO_RESULTS
12;AC;ACRELÂNDIA;ACRE;AC 1200013;BELA VISTA DE GOIÁS;GO;AC 1200013/BELA VISTA DE GOIÁS;2.834 km;2834328;1 dia 13 horas;134420;OK
