uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value
SP;ADAMANTINA;PRESIDENTE PRUDENTE;SP 3500105;ITAPETININGA;SP;;;;
SP;ADOLFO;SÃO J. DO RIO PRETO;SP 3500204;ITAPETININGA;SP;;;;
SP;AGUAÍ;CAMPINAS;SP 3500303;ITAPETININGA;SP;;;;
SP;ÁGUAS DA PRATA;CAMPINAS;SP 3500402;ITAPETININGA;SP;;;;
SP;ÁGUAS DE LINDÓIA;CAMPINAS;SP 3500501;ITAPETININGA;SP;;;;
SP;ÁGUAS DE SANTA BÁRBARA;BAURU;SP 3500550;ITAPETININGA;SP;;;;
SP;ÁGUAS DE SÃO PEDRO;PIRACICABA;SP 3500600;ITAPETININGA;SP;;;;
SP;AGUDOS;BAURU;SP 3500709;ITAPETININGA;SP;;;;
SP;ALAMBARI;ITAPETININGA;SP 3500758;ITAPETININGA;SP;;;;
SP;ALFREDO MARCONDES;PRESIDENTE PRUDENTE;SP 3500808;ITAPETININGA;SP;;;;
SP;ALTAIR;SÃO J. DO RIO PRETO;SP 3500907;ITAPETININGA;SP;;;;
SP;ALTINÓPOLIS;RIBEIRÃO PRETO;SP 3501004;ITAPETININGA;SP;;;;
SP;ALTO ALEGRE;ARAÇATUBA;SP 3501103;ITAPETININGA;SP;;;;
SP;ALUMÍNIO;MACRO MET. PAULISTA;SP 3501152;ITAPETININGA;SP;;;;
SP;ÁLVARES FLORENCE;SÃO J. DO RIO PRETO;SP 3501202;ITAPETININGA;SP;;;;
SP;ÁLVARES MACHADO;PRESIDENTE PRUDENTE;SP 3501301;ITAPETININGA;SP;;;;
SP;ÁLVARO DE CARVALHO;MARÍLIA;SP 3501400;ITAPETININGA;SP;;;;
SP;ALVINLÂNDIA;MARÍLIA;SP 3501509;ITAPETININGA;SP;;;;
SP;AMERICANA;CAMPINAS;SP 3501608;ITAPETININGA;SP;;;;
SP;AMÉRICO BRASILIENSE;ARARAQUARA;SP 3501707;ITAPETININGA;SP;;;;
SP;AMÉRICO DE CAMPOS;SÃO J. DO RIO PRETO;SP 3501806;ITAPETININGA;SP;;;;
SP;AMPARO;CAMPINAS;SP 3501905;ITAPETININGA;SP;;;;
SP;ANALÂNDIA;ARARAQUARA;SP 3502002;ITAPETININGA;SP;;;;
SP;ANDRADINA;ARAÇATUBA;SP 3502101;ITAPETININGA;SP;;;;
SP;ANGATUBA;ITAPETININGA;SP 3502200;ITAPETININGA;SP;;;;
SP;ANHEMBI;BAURU;SP 3502309;ITAPETININGA;SP;;;;
SP;ANHUMAS;PRESIDENTE PRUDENTE;SP 3502408;ITAPETININGA;SP;;;;
SP;APARECIDA;VALE DO PARAÍBA;SP 3502507;ITAPETININGA;SP;;;;
SP;APARECIDA D'OESTE;SÃO J. DO RIO PRETO;SP 3502606;ITAPETININGA;SP;;;;
SP;APIAÍ;ITAPETININGA;SP 3502705;ITAPETININGA;SP;;;;
SP;ARAÇARIGUAMA;MACRO MET. PAULISTA;SP 3502754;ITAPETININGA;SP;;;;
SP;ARAÇATUBA;ARAÇATUBA;SP 3502804;ITAPETININGA;SP;;;;
SP;ARAÇOIABA DA SERRA;MACRO MET. PAULISTA;SP 3502903;ITAPETININGA;SP;;;;
SP;ARAMINA;RIBEIRÃO PRETO;SP 3503000;ITAPETININGA;SP;;;;
SP;ARANDU;BAURU;SP 3503109;ITAPETININGA;SP;;;;
SP;ARAPEÍ;VALE DO PARAÍBA;SP 3503158;ITAPETININGA;SP;;;;
SP;ARARAQUARA;ARARAQUARA;SP 3503208;ITAPETININGA;SP;;;;
SP;ARARAS;PIRACICABA;SP 3503307;ITAPETININGA;SP;;;;
SP;ARCO-ÍRIS;MARÍLIA;SP 3503356;ITAPETININGA;SP;;;;
SP;AREALVA;BAURU;SP 3503406;ITAPETININGA;SP;;;;
SP;AREIAS;VALE DO PARAÍBA;SP 3503505;ITAPETININGA;SP;;;;
SP;AREIÓPOLIS;BAURU;SP 3503604;ITAPETININGA;SP;;;;
SP;ARIRANHA;SÃO J. DO RIO PRETO;SP 3503703;ITAPETININGA;SP;;;;
SP;ARTUR NOGUEIRA;CAMPINAS;SP 3503802;ITAPETININGA;SP;;;;
