uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value
AC;CRUZEIRO DO SUL;ACRE;AC 1200203;BELAVISTA DE GOIAS;GO;;;;
AC;MÂNCIO LIMA;ACRE;AC 1200336;BELAVISTA DE GOIAS;GO;;;;
AC;MARECHAL THAUMATURGO;ACRE;AC 1200351;BELAVISTA DE GOIAS;GO;;;;
AC;PORTO WALTER;ACRE;AC 1200393;BELAVISTA DE GOIAS;GO;;;;
AC;RODRIGUES ALVES;ACRE;AC 1200427;BELAVISTA DE GOIAS;GO;;;;
AC;FEIJÓ;ACRE;AC 1200302;BELAVISTA DE GOIAS;GO;;;;
AC;JORDÃO;ACRE;AC 1200328;BELAVISTA DE GOIAS;GO;;;;
AC;TARAUACÁ;ACRE;AC 1200609;BELAVISTA DE GOIAS;GO;;;;
AC;MANOEL URBANO;ACRE;AC 1200344;BELAVISTA DE GOIAS;GO;;;;
AC;SANTA ROSA DO PURUS;ACRE;AC 1200435;BELAVISTA DE GOIAS;GO;;;;
AC;SENA MADUREIRA;ACRE;AC 1200500;BELAVISTA DE GOIAS;GO;;;;
AC;ACRELÂNDIA;ACRE;AC 1200013;BELAVISTA DE GOIAS;GO;;;;
AC;BUJARI;ACRE;AC 1200138;BELAVISTA DE GOIAS;GO;;;;
AC;CAPIXABA;ACRE;AC 1200179;BELAVISTA DE GOIAS;GO;;;;
AC;PLÁCIDO DE CASTRO;ACRE;AC 1200385;BELAVISTA DE GOIAS;GO;;;;
AC;RIO BRANCO;ACRE;AC 1200401;BELAVISTA DE GOIAS;GO;;;;
AC;SENADOR GUIOMARD;ACRE;AC 1200450;BELAVISTA DE GOIAS;GO;;;;
AC;PORTO ACRE;ACRE;AC 1200807;BELAVISTA DE GOIAS;GO;;;;
AC;ASSIS BRASIL;ACRE;AC 1200054;BELAVISTA DE GOIAS;GO;;;;
AC;BRASILÉIA;ACRE;AC 1200104;BELAVISTA DE GOIAS;GO;;;;
AC;EPITACIOLÂNDIA;ACRE;AC 1200252;BELAVISTA DE GOIAS;GO;;;;
AC;XAPURI;ACRE;AC 1200708;BELAVISTA DE GOIAS;GO;;;;
AL;ÁGUA BRANCA;ALAGOAS;AL 2700102;BELAVISTA DE GOIAS;GO;;;;
AL;CANAPI;ALAGOAS;AL 2701605;BELAVISTA DE GOIAS;GO;;;;
AL;INHAPI;ALAGOAS;AL 2703304;BELAVISTA DE GOIAS;GO;;;;
AL;MATA GRANDE;ALAGOAS;AL 2705002;BELAVISTA DE GOIAS;GO;;;;
AL;PARICONHA;ALAGOAS;AL 2706422;BELAVISTA DE GOIAS;GO;;;;
AL;DELMIRO GOUVEIA;ALAGOAS;AL 2702405;BELAVISTA DE GOIAS;GO;;;;
AL;OLHO D'ÁGUA DO CASADO;ALAGOAS;AL 2705804;BELAVISTA DE GOIAS;GO;;;;
AL;PIRANHAS;ALAGOAS;AL 2707107;BELAVISTA DE GOIAS;GO;;;;
AL;CARNEIROS;ALAGOAS;AL 2701803;BELAVISTA DE GOIAS;GO;;;;
AL;DOIS RIACHOS;ALAGOAS;AL 2702504;BELAVISTA DE GOIAS;GO;;;;
AL;MARAVILHA;ALAGOAS;AL 2704609;BELAVISTA DE GOIAS;GO;;;;
AL;OURO BRANCO;ALAGOAS;AL 2706109;BELAVISTA DE GOIAS;GO;;;;
AL;PALESTINA;ALAGOAS;AL 2706208;BELAVISTA DE GOIAS;GO;;;;
AL;PÃO DE AÇÚCAR;ALAGOAS;AL 2706406;BELAVISTA DE GOIAS;GO;;;;
AL;POÇO DAS TRINCHEIRAS;ALAGOAS;AL 2707206;BELAVISTA DE GOIAS;GO;;;;
AL;SANTANA DO IPANEMA;ALAGOAS;AL 2708006;BELAVISTA DE GOIAS;GO;;;;
AL;SÃO JOSÉ DA TAPERA;ALAGOAS;AL 2708402;BELAVISTA DE GOIAS;GO;;;;
AL;SENADOR RUI PALMEIRA;ALAGOAS;AL 2708956;BELAVISTA DE GOIAS;GO;;;;
AL;BATALHA;ALAGOAS;AL 2700706;BELAVISTA DE GOIAS;GO;;;;
AL;BELO MONTE;ALAGOAS;AL 2700904;BELAVISTA DE GOIAS;GO;;;;
AL;JACARÉ DOS HOMENS;ALAGOAS;AL 2703403;BELAVISTA DE GOIAS;GO;;;;
AL;JARAMATAIA;ALAGOAS;AL 2703700;BELAVISTA DE GOIAS;GO;;;;
AL;MAJOR ISIDORO;ALAGOAS;AL 2704401;BELAVISTA DE GOIAS;GO;;;;
AL;MONTEIRÓPOLIS;ALAGOAS;AL 2705408;BELAVISTA DE GOIAS;GO;;;;
AL;OLHO D'ÁGUA DAS FLORES;ALAGOAS;AL 2705705;BELAVISTA DE GOIAS;GO;;;;
AL;OLIVENÇA;ALAGOAS;AL 2706000;BELAVISTA DE GOIAS;GO;;;;
AL;BELÉM;ALAGOAS;AL 2700805;BELAVISTA DE GOIAS;GO;;;;
AL;CACIMBINHAS;ALAGOAS;AL 2701209;BELAVISTA DE GOIAS;GO;;;;
AL;ESTRELA DE ALAGOAS;ALAGOAS;AL 2702553;BELAVISTA DE GOIAS;GO;;;;
AL;IGACI;ALAGOAS;AL 2703106;BELAVISTA DE GOIAS;GO;;;;
AL;MARIBONDO;ALAGOAS;AL 2704807;BELAVISTA DE GOIAS;GO;;;;
AL;MAR VERMELHO;ALAGOAS;AL 2704906;BELAVISTA DE GOIAS;GO;;;;
AL;MINADOR DO NEGRÃO;ALAGOAS;AL 2705309;BELAVISTA DE GOIAS;GO;;;;
AL;PALMEIRA DOS ÍNDIOS;ALAGOAS;AL 2706307;BELAVISTA DE GOIAS;GO;;;;
AL;PAULO JACINTO;ALAGOAS;AL 2706604;BELAVISTA DE GOIAS;GO;;;;
AL;QUEBRANGULO;ALAGOAS;AL 2707602;BELAVISTA DE GOIAS;GO;;;;
AL;TANQUE D'ARCA;ALAGOAS;AL 2709004;BELAVISTA DE GOIAS;GO;;;;
AL;ARAPIRACA;ALAGOAS;AL 2700300;BELAVISTA DE GOIAS;GO;;;;
AL;CAMPO GRANDE;ALAGOAS;AL 2701506;BELAVISTA DE GOIAS;GO;;;;
AL;COITÉ DO NÓIA;ALAGOAS;AL 2702009;BELAVISTA DE GOIAS;GO;;;;
AL;CRAÍBAS;ALAGOAS;AL 2702355;BELAVISTA DE GOIAS;GO;;;;
AL;FEIRA GRANDE;ALAGOAS;AL 2702603;BELAVISTA DE GOIAS;GO;;;;
AL;GIRAU DO PONCIANO;ALAGOAS;AL 2702900;BELAVISTA DE GOIAS;GO;;;;
AL;LAGOA DA CANOA;ALAGOAS;AL 2704104;BELAVISTA DE GOIAS;GO;;;;
AL;LIMOEIRO DE ANADIA;ALAGOAS;AL 2704203;BELAVISTA DE GOIAS;GO;;;;
AL;SÃO SEBASTIÃO;ALAGOAS;AL 2708808;BELAVISTA DE GOIAS;GO;;;;
AL;TAQUARANA;ALAGOAS;AL 2709103;BELAVISTA DE GOIAS;GO;;;;
AL;OLHO D'ÁGUA GRANDE;ALAGOAS;AL 2705903;BELAVISTA DE GOIAS;GO;;;;
AL;SÃO BRÁS;ALAGOAS;AL 2708204;BELAVISTA DE GOIAS;GO;;;;
AL;TRAIPU;ALAGOAS;AL 2709202;BELAVISTA DE GOIAS;GO;;;;
AL;CHÃ PRETA;ALAGOAS;AL 2701902;BELAVISTA DE GOIAS;GO;;;;
AL;IBATEGUARA;ALAGOAS;AL 2703007;BELAVISTA DE GOIAS;GO;;;;
AL;PINDOBA;ALAGOAS;AL 2707008;BELAVISTA DE GOIAS;GO;;;;
AL;SANTANA DO MUNDAÚ;ALAGOAS;AL 2708105;BELAVISTA DE GOIAS;GO;;;;
AL;SÃO JOSÉ DA LAJE;ALAGOAS;AL 2708303;BELAVISTA DE GOIAS;GO;;;;
AL;UNIÃO DOS PALMARES;ALAGOAS;AL 2709301;BELAVISTA DE GOIAS;GO;;;;
AL;VIÇOSA;ALAGOAS;AL 2709400;BELAVISTA DE GOIAS;GO;;;;
AL;ATALAIA;ALAGOAS;AL 2700409;BELAVISTA DE GOIAS;GO;;;;
AL;BRANQUINHA;ALAGOAS;AL 2701100;BELAVISTA DE GOIAS;GO;;;;
AL;CAJUEIRO;ALAGOAS;AL 2701308;BELAVISTA DE GOIAS;GO;;;;
AL;CAMPESTRE;ALAGOAS;AL 2701357;BELAVISTA DE GOIAS;GO;;;;
AL;CAPELA;ALAGOAS;AL 2701704;BELAVISTA DE GOIAS;GO;;;;
AL;COLÔNIA LEOPOLDINA;ALAGOAS;AL 2702108;BELAVISTA DE GOIAS;GO;;;;
AL;FLEXEIRAS;ALAGOAS;AL 2702801;BELAVISTA DE GOIAS;GO;;;;
AL;JACUÍPE;ALAGOAS;AL 2703502;BELAVISTA DE GOIAS;GO;;;;
AL;JOAQUIM GOMES;ALAGOAS;AL 2703809;BELAVISTA DE GOIAS;GO;;;;
AL;JUNDIÁ;ALAGOAS;AL 2703908;BELAVISTA DE GOIAS;GO;;;;
AL;MATRIZ DE CAMARAGIBE;ALAGOAS;AL 2705101;BELAVISTA DE GOIAS;GO;;;;
AL;MESSIAS;ALAGOAS;AL 2705200;BELAVISTA DE GOIAS;GO;;;;
AL;MURICI;ALAGOAS;AL 2705507;BELAVISTA DE GOIAS;GO;;;;
AL;NOVO LINO;ALAGOAS;AL 2705606;BELAVISTA DE GOIAS;GO;;;;
AL;PORTO CALVO;ALAGOAS;AL 2707305;BELAVISTA DE GOIAS;GO;;;;
AL;SÃO LUÍS DO QUITUNDE;ALAGOAS;AL 2708501;BELAVISTA DE GOIAS;GO;;;;
AL;JAPARATINGA;ALAGOAS;AL 2703601;BELAVISTA DE GOIAS;GO;;;;
AL;MARAGOGI;ALAGOAS;AL 2704500;BELAVISTA DE GOIAS;GO;;;;
AL;PASSO DE CAMARAGIBE;ALAGOAS;AL 2706505;BELAVISTA DE GOIAS;GO;;;;
AL;PORTO DE PEDRAS;ALAGOAS;AL 2707404;BELAVISTA DE GOIAS;GO;;;;
AL;SÃO MIGUEL DOS MILAGRES;ALAGOAS;AL 2708709;BELAVISTA DE GOIAS;GO;;;;
AL;BARRA DE SANTO ANTÔNIO;ALAGOAS;AL 2700508;BELAVISTA DE GOIAS;GO;;;;
AL;BARRA DE SÃO MIGUEL;ALAGOAS;AL 2700607;BELAVISTA DE GOIAS;GO;;;;
AL;COQUEIRO SECO;ALAGOAS;AL 2702207;BELAVISTA DE GOIAS;GO;;;;
AL;MACEIÓ;ALAGOAS;AL 2704302;BELAVISTA DE GOIAS;GO;;;;
AL;MARECHAL DEODORO;ALAGOAS;AL 2704708;BELAVISTA DE GOIAS;GO;;;;
AL;PARIPUEIRA;ALAGOAS;AL 2706448;BELAVISTA DE GOIAS;GO;;;;
AL;PILAR;ALAGOAS;AL 2706901;BELAVISTA DE GOIAS;GO;;;;
AL;RIO LARGO;ALAGOAS;AL 2707701;BELAVISTA DE GOIAS;GO;;;;
AL;SANTA LUZIA DO NORTE;ALAGOAS;AL 2707909;BELAVISTA DE GOIAS;GO;;;;
AL;SATUBA;ALAGOAS;AL 2708907;BELAVISTA DE GOIAS;GO;;;;
AL;ANADIA;ALAGOAS;AL 2700201;BELAVISTA DE GOIAS;GO;;;;
AL;BOCA DA MATA;ALAGOAS;AL 2701001;BELAVISTA DE GOIAS;GO;;;;
AL;CAMPO ALEGRE;ALAGOAS;AL 2701407;BELAVISTA DE GOIAS;GO;;;;
AL;CORURIPE;ALAGOAS;AL 2702306;BELAVISTA DE GOIAS;GO;;;;
AL;JEQUIÁ DA PRAIA;ALAGOAS;AL 2703759;BELAVISTA DE GOIAS;GO;;;;
AL;JUNQUEIRO;ALAGOAS;AL 2704005;BELAVISTA DE GOIAS;GO;;;;
AL;ROTEIRO;ALAGOAS;AL 2707800;BELAVISTA DE GOIAS;GO;;;;
AL;SÃO MIGUEL DOS CAMPOS;ALAGOAS;AL 2708600;BELAVISTA DE GOIAS;GO;;;;
AL;TEOTÔNIO VILELA;ALAGOAS;AL 2709152;BELAVISTA DE GOIAS;GO;;;;
AL;FELIZ DESERTO;ALAGOAS;AL 2702702;BELAVISTA DE GOIAS;GO;;;;
AL;IGREJA NOVA;ALAGOAS;AL 2703205;BELAVISTA DE GOIAS;GO;;;;
AL;PENEDO;ALAGOAS;AL 2706703;BELAVISTA DE GOIAS;GO;;;;
AL;PIAÇABUÇU;ALAGOAS;AL 2706802;BELAVISTA DE GOIAS;GO;;;;
AL;PORTO REAL DO COLÉGIO;ALAGOAS;AL 2707503;BELAVISTA DE GOIAS;GO;;;;
AM;BARCELOS;AMAZONAS;AM 1300409;BELAVISTA DE GOIAS;GO;;;;
AM;NOVO AIRÃO;AMAZONAS;AM 1303205;BELAVISTA DE GOIAS;GO;;;;
AM;SANTA ISABEL DO RIO NEGRO;AMAZONAS;AM 1303601;BELAVISTA DE GOIAS;GO;;;;
AM;SÃO GABRIEL DA CACHOEIRA;AMAZONAS;AM 1303809;BELAVISTA DE GOIAS;GO;;;;
AM;JAPURÁ;AMAZONAS;AM 1302108;BELAVISTA DE GOIAS;GO;;;;
AM;MARAÃ;AMAZONAS;AM 1302801;BELAVISTA DE GOIAS;GO;;;;
AM;AMATURÁ;AMAZONAS;AM 1300060;BELAVISTA DE GOIAS;GO;;;;
AM;ATALAIA DO NORTE;AMAZONAS;AM 1300201;BELAVISTA DE GOIAS;GO;;;;
AM;BENJAMIN CONSTANT;AMAZONAS;AM 1300607;BELAVISTA DE GOIAS;GO;;;;
AM;FONTE BOA;AMAZONAS;AM 1301605;BELAVISTA DE GOIAS;GO;;;;
AM;JUTAÍ;AMAZONAS;AM 1302306;BELAVISTA DE GOIAS;GO;;;;
AM;SANTO ANTÔNIO DO IÇÁ;AMAZONAS;AM 1303700;BELAVISTA DE GOIAS;GO;;;;
AM;SÃO PAULO DE OLIVENÇA;AMAZONAS;AM 1303908;BELAVISTA DE GOIAS;GO;;;;
AM;TABATINGA;AMAZONAS;AM 1304062;BELAVISTA DE GOIAS;GO;;;;
AM;TONANTINS;AMAZONAS;AM 1304237;BELAVISTA DE GOIAS;GO;;;;
AM;CARAUARI;AMAZONAS;AM 1301001;BELAVISTA DE GOIAS;GO;;;;
AM;EIRUNEPÉ;AMAZONAS;AM 1301407;BELAVISTA DE GOIAS;GO;;;;
AM;ENVIRA;AMAZONAS;AM 1301506;BELAVISTA DE GOIAS;GO;;;;
AM;GUAJARÁ;AMAZONAS;AM 1301654;BELAVISTA DE GOIAS;GO;;;;
AM;IPIXUNA;AMAZONAS;AM 1301803;BELAVISTA DE GOIAS;GO;;;;
AM;ITAMARATI;AMAZONAS;AM 1301951;BELAVISTA DE GOIAS;GO;;;;
AM;JURUÁ;AMAZONAS;AM 1302207;BELAVISTA DE GOIAS;GO;;;;
AM;ALVARÃES;AMAZONAS;AM 1300029;BELAVISTA DE GOIAS;GO;;;;
AM;TEFÉ;AMAZONAS;AM 1304203;BELAVISTA DE GOIAS;GO;;;;
AM;UARINI;AMAZONAS;AM 1304260;BELAVISTA DE GOIAS;GO;;;;
AM;ANAMÃ;AMAZONAS;AM 1300086;BELAVISTA DE GOIAS;GO;;;;
AM;ANORI;AMAZONAS;AM 1300102;BELAVISTA DE GOIAS;GO;;;;
AM;BERURI;AMAZONAS;AM 1300631;BELAVISTA DE GOIAS;GO;;;;
AM;CAAPIRANGA;AMAZONAS;AM 1300839;BELAVISTA DE GOIAS;GO;;;;
AM;COARI;AMAZONAS;AM 1301209;BELAVISTA DE GOIAS;GO;;;;
AM;CODAJÁS;AMAZONAS;AM 1301308;BELAVISTA DE GOIAS;GO;;;;
AM;AUTAZES;AMAZONAS;AM 1300300;BELAVISTA DE GOIAS;GO;;;;
AM;CAREIRO;AMAZONAS;AM 1301100;BELAVISTA DE GOIAS;GO;;;;
AM;CAREIRO DA VÁRZEA;AMAZONAS;AM 1301159;BELAVISTA DE GOIAS;GO;;;;
AM;IRANDUBA;AMAZONAS;AM 1301852;BELAVISTA DE GOIAS;GO;;;;
AM;MANACAPURU;AMAZONAS;AM 1302504;BELAVISTA DE GOIAS;GO;;;;
AM;MANAQUIRI;AMAZONAS;AM 1302553;BELAVISTA DE GOIAS;GO;;;;
AM;MANAUS;AMAZONAS;AM 1302603;BELAVISTA DE GOIAS;GO;;;;
AM;PRESIDENTE FIGUEIREDO;AMAZONAS;AM 1303536;BELAVISTA DE GOIAS;GO;;;;
AM;RIO PRETO DA EVA;AMAZONAS;AM 1303569;BELAVISTA DE GOIAS;GO;;;;
AM;ITACOATIARA;AMAZONAS;AM 1301902;BELAVISTA DE GOIAS;GO;;;;
AM;ITAPIRANGA;AMAZONAS;AM 1302009;BELAVISTA DE GOIAS;GO;;;;
AM;NOVA OLINDA DO NORTE;AMAZONAS;AM 1303106;BELAVISTA DE GOIAS;GO;;;;
AM;SILVES;AMAZONAS;AM 1304005;BELAVISTA DE GOIAS;GO;;;;
AM;URUCURITUBA;AMAZONAS;AM 1304401;BELAVISTA DE GOIAS;GO;;;;
AM;BARREIRINHA;AMAZONAS;AM 1300508;BELAVISTA DE GOIAS;GO;;;;
AM;BOA VISTA DO RAMOS;AMAZONAS;AM 1300680;BELAVISTA DE GOIAS;GO;;;;
AM;MAUÉS;AMAZONAS;AM 1302900;BELAVISTA DE GOIAS;GO;;;;
AM;NHAMUNDÁ;AMAZONAS;AM 1303007;BELAVISTA DE GOIAS;GO;;;;
AM;PARINTINS;AMAZONAS;AM 1303403;BELAVISTA DE GOIAS;GO;;;;
AM;SÃO SEBASTIÃO DO UATUMÃ;AMAZONAS;AM 1303957;BELAVISTA DE GOIAS;GO;;;;
AM;URUCARÁ;AMAZONAS;AM 1304302;BELAVISTA DE GOIAS;GO;;;;
AM;BOCA DO ACRE;AMAZONAS;AM 1300706;BELAVISTA DE GOIAS;GO;;;;
AM;PAUINI;AMAZONAS;AM 1303502;BELAVISTA DE GOIAS;GO;;;;
AM;CANUTAMA;AMAZONAS;AM 1300904;BELAVISTA DE GOIAS;GO;;;;
AM;LÁBREA;AMAZONAS;AM 1302405;BELAVISTA DE GOIAS;GO;;;;
AM;TAPAUÁ;AMAZONAS;AM 1304104;BELAVISTA DE GOIAS;GO;;;;
AM;APUÍ;AMAZONAS;AM 1300144;BELAVISTA DE GOIAS;GO;;;;
AM;BORBA;AMAZONAS;AM 1300805;BELAVISTA DE GOIAS;GO;;;;
AM;HUMAITÁ;AMAZONAS;AM 1301704;BELAVISTA DE GOIAS;GO;;;;
AM;MANICORÉ;AMAZONAS;AM 1302702;BELAVISTA DE GOIAS;GO;;;;
AM;NOVO ARIPUANÃ;AMAZONAS;AM 1303304;BELAVISTA DE GOIAS;GO;;;;
AP;CALÇOENE;AMAPÁ;AP 1600204;BELAVISTA DE GOIAS;GO;;;;
AP;OIAPOQUE;AMAPÁ;AP 1600501;BELAVISTA DE GOIAS;GO;;;;
AP;AMAPÁ;AMAPÁ;AP 1600105;BELAVISTA DE GOIAS;GO;;;;
AP;PRACUÚBA;AMAPÁ;AP 1600550;BELAVISTA DE GOIAS;GO;;;;
AP;TARTARUGALZINHO;AMAPÁ;AP 1600709;BELAVISTA DE GOIAS;GO;;;;
AP;SERRA DO NAVIO;AMAPÁ;AP 1600055;BELAVISTA DE GOIAS;GO;;;;
AP;PEDRA BRANCA DO AMAPARI;AMAPÁ;AP 1600154;BELAVISTA DE GOIAS;GO;;;;
AP;CUTIAS;AMAPÁ;AP 1600212;BELAVISTA DE GOIAS;GO;;;;
AP;FERREIRA GOMES;AMAPÁ;AP 1600238;BELAVISTA DE GOIAS;GO;;;;
AP;ITAUBAL;AMAPÁ;AP 1600253;BELAVISTA DE GOIAS;GO;;;;
AP;MACAPÁ;AMAPÁ;AP 1600303;BELAVISTA DE GOIAS;GO;;;;
AP;PORTO GRANDE;AMAPÁ;AP 1600535;BELAVISTA DE GOIAS;GO;;;;
AP;SANTANA;AMAPÁ;AP 1600600;BELAVISTA DE GOIAS;GO;;;;
AP;LARANJAL DO JARI;AMAPÁ;AP 1600279;BELAVISTA DE GOIAS;GO;;;;
AP;MAZAGÃO;AMAPÁ;AP 1600402;BELAVISTA DE GOIAS;GO;;;;
AP;VITÓRIA DO JARI;AMAPÁ;AP 1600808;BELAVISTA DE GOIAS;GO;;;;
BA;BAIANÓPOLIS;EXTREMO OESTE BAIANO;BA 2902500;BELAVISTA DE GOIAS;GO;;;;
BA;BARREIRAS;EXTREMO OESTE BAIANO;BA 2903201;BELAVISTA DE GOIAS;GO;;;;
BA;CATOLÂNDIA;EXTREMO OESTE BAIANO;BA 2907400;BELAVISTA DE GOIAS;GO;;;;
BA;FORMOSA DO RIO PRETO;EXTREMO OESTE BAIANO;BA 2911105;BELAVISTA DE GOIAS;GO;;;;
BA;LUÍS EDUARDO MAGALHÃES;EXTREMO OESTE BAIANO;BA 2919553;BELAVISTA DE GOIAS;GO;;;;
BA;RIACHÃO DAS NEVES;EXTREMO OESTE BAIANO;BA 2926202;BELAVISTA DE GOIAS;GO;;;;
BA;SÃO DESIDÉRIO;EXTREMO OESTE BAIANO;BA 2928901;BELAVISTA DE GOIAS;GO;;;;
BA;ANGICAL;EXTREMO OESTE BAIANO;BA 2901403;BELAVISTA DE GOIAS;GO;;;;
BA;BREJOLÂNDIA;EXTREMO OESTE BAIANO;BA 2904407;BELAVISTA DE GOIAS;GO;;;;
BA;COTEGIPE;EXTREMO OESTE BAIANO;BA 2909406;BELAVISTA DE GOIAS;GO;;;;
BA;CRISTÓPOLIS;EXTREMO OESTE BAIANO;BA 2909703;BELAVISTA DE GOIAS;GO;;;;
BA;MANSIDÃO;EXTREMO OESTE BAIANO;BA 2920452;BELAVISTA DE GOIAS;GO;;;;
BA;SANTA RITA DE CÁSSIA;EXTREMO OESTE BAIANO;BA 2928406;BELAVISTA DE GOIAS;GO;;;;
BA;TABOCAS DO BREJO VELHO;EXTREMO OESTE BAIANO;BA 2930907;BELAVISTA DE GOIAS;GO;;;;
BA;WANDERLEY;EXTREMO OESTE BAIANO;BA 2933455;BELAVISTA DE GOIAS;GO;;;;
BA;CANÁPOLIS;EXTREMO OESTE BAIANO;BA 2906105;BELAVISTA DE GOIAS;GO;;;;
BA;COCOS;EXTREMO OESTE BAIANO;BA 2908101;BELAVISTA DE GOIAS;GO;;;;
BA;CORIBE;EXTREMO OESTE BAIANO;BA 2909109;BELAVISTA DE GOIAS;GO;;;;
BA;CORRENTINA;EXTREMO OESTE BAIANO;BA 2909307;BELAVISTA DE GOIAS;GO;;;;
BA;JABORANDI;EXTREMO OESTE BAIANO;BA 2917359;BELAVISTA DE GOIAS;GO;;;;
BA;SANTA MARIA DA VITÓRIA;EXTREMO OESTE BAIANO;BA 2928109;BELAVISTA DE GOIAS;GO;;;;
BA;SANTANA;EXTREMO OESTE BAIANO;BA 2928208;BELAVISTA DE GOIAS;GO;;;;
BA;SÃO FÉLIX DO CORIBE;EXTREMO OESTE BAIANO;BA 2929057;BELAVISTA DE GOIAS;GO;;;;
BA;SERRA DOURADA;EXTREMO OESTE BAIANO;BA 2930303;BELAVISTA DE GOIAS;GO;;;;
BA;CAMPO ALEGRE DE LOURDES;VALE SÃO FRANCISCANO;BA 2905909;BELAVISTA DE GOIAS;GO;;;;
BA;CASA NOVA;VALE SÃO FRANCISCANO;BA 2907202;BELAVISTA DE GOIAS;GO;;;;
BA;CURAÇÁ;VALE SÃO FRANCISCANO;BA 2909901;BELAVISTA DE GOIAS;GO;;;;
BA;JUAZEIRO;VALE SÃO FRANCISCANO;BA 2918407;BELAVISTA DE GOIAS;GO;;;;
BA;PILÃO ARCADO;VALE SÃO FRANCISCANO;BA 2924405;BELAVISTA DE GOIAS;GO;;;;
BA;REMANSO;VALE SÃO FRANCISCANO;BA 2926004;BELAVISTA DE GOIAS;GO;;;;
BA;SENTO SÉ;VALE SÃO FRANCISCANO;BA 2930204;BELAVISTA DE GOIAS;GO;;;;
BA;SOBRADINHO;VALE SÃO FRANCISCANO;BA 2930774;BELAVISTA DE GOIAS;GO;;;;
BA;ABARÉ;VALE SÃO FRANCISCANO;BA 2900207;BELAVISTA DE GOIAS;GO;;;;
BA;CHORROCHÓ;VALE SÃO FRANCISCANO;BA 2907707;BELAVISTA DE GOIAS;GO;;;;
BA;GLÓRIA;VALE SÃO FRANCISCANO;BA 2911402;BELAVISTA DE GOIAS;GO;;;;
BA;MACURURÉ;VALE SÃO FRANCISCANO;BA 2919900;BELAVISTA DE GOIAS;GO;;;;
BA;PAULO AFONSO;VALE SÃO FRANCISCANO;BA 2924009;BELAVISTA DE GOIAS;GO;;;;
BA;RODELAS;VALE SÃO FRANCISCANO;BA 2927101;BELAVISTA DE GOIAS;GO;;;;
BA;BARRA;VALE SÃO FRANCISCANO;BA 2902708;BELAVISTA DE GOIAS;GO;;;;
BA;BURITIRAMA;VALE SÃO FRANCISCANO;BA 2904753;BELAVISTA DE GOIAS;GO;;;;
BA;IBOTIRAMA;VALE SÃO FRANCISCANO;BA 2913200;BELAVISTA DE GOIAS;GO;;;;
BA;ITAGUAÇU DA BAHIA;VALE SÃO FRANCISCANO;BA 2915353;BELAVISTA DE GOIAS;GO;;;;
BA;MORPARÁ;VALE SÃO FRANCISCANO;BA 2921609;BELAVISTA DE GOIAS;GO;;;;
BA;MUQUÉM DE SÃO FRANCISCO;VALE SÃO FRANCISCANO;BA 2922250;BELAVISTA DE GOIAS;GO;;;;
