uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value;Status
AC;CRUZEIRO DO SUL;ACRE;AC 1200203;BELA VISTA DE GOIÁS;GO;3.554 km;3554262;2 dias 0 horas;172086;OK
AC;MÂNCIO LIMA;ACRE;AC 1200336;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;MARECHAL THAUMATURGO;ACRE;AC 1200351;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;PORTO WALTER;ACRE;AC 1200393;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;RODRIGUES ALVES;ACRE;AC 1200427;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;FEIJÓ;ACRE;AC 1200302;BELA VISTA DE GOIÁS;GO;3.282 km;3281583;1 dia 20 horas;157510;OK
AC;JORDÃO;ACRE;AC 1200328;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;TARAUACÁ;ACRE;AC 1200609;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;MANOEL URBANO;ACRE;AC 1200344;BELA VISTA DE GOIÁS;GO;3.146 km;3146094;1 dia 18 horas;150860;OK
AC;SANTA ROSA DO PURUS;ACRE;AC 1200435;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;SENA MADUREIRA;ACRE;AC 1200500;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;ACRELÂNDIA;ACRE;AC 1200013;BELA VISTA DE GOIÁS;GO;2.834 km;2834328;1 dia 13 horas;134420;OK
AC;BUJARI;ACRE;AC 1200138;BELA VISTA DE GOIÁS;GO;2.944 km;2943925;1 dia 15 horas;140015;OK
AC;CAPIXABA;ACRE;AC 1200179;BELA VISTA DE GOIÁS;GO;2.933 km;2932676;1 dia 15 horas;138778;OK
AC;PLÁCIDO DE CASTRO;ACRE;AC 1200385;BELA VISTA DE GOIÁS;GO;2.888 km;2888050;1 dia 14 horas;136565;OK
AC;RIO BRANCO;ACRE;AC 1200401;BELA VISTA DE GOIÁS;GO;2.918 km;2917521;1 dia 15 horas;138611;OK
AC;SENADOR GUIOMARD;ACRE;AC 1200450;BELA VISTA DE GOIÁS;GO;2.909 km;2908598;1 dia 14 horas;137795;OK
AC;PORTO ACRE;ACRE;AC 1200807;BELA VISTA DE GOIÁS;GO;2.966 km;2965501;1 dia 15 horas;141851;OK
AC;ASSIS BRASIL;ACRE;AC 1200054;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;BRASILÉIA;ACRE;AC 1200104;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AC;EPITACIOLÂNDIA;ACRE;AC 1200252;BELA VISTA DE GOIÁS;GO;3.057 km;3056659;1 dia 16 horas;145328;OK
AC;XAPURI;ACRE;AC 1200708;BELA VISTA DE GOIÁS;GO;3.024 km;3024332;1 dia 16 horas;144034;OK
AL;ÁGUA BRANCA;ALAGOAS;AL 2700102;BELA VISTA DE GOIÁS;GO;1.969 km;1969047;1 dia 2 horas;91800;OK
AL;CANAPI;ALAGOAS;AL 2701605;BELA VISTA DE GOIÁS;GO;2.024 km;2024369;1 dia 2 horas;93414;OK
AL;INHAPI;ALAGOAS;AL 2703304;BELA VISTA DE GOIÁS;GO;1.993 km;1992920;1 dia 2 horas;92228;OK
AL;MATA GRANDE;ALAGOAS;AL 2705002;BELA VISTA DE GOIÁS;GO;2.004 km;2004112;1 dia 2 horas;93246;OK
AL;PARICONHA;ALAGOAS;AL 2706422;BELA VISTA DE GOIÁS;GO;1.975 km;1975336;1 dia 2 horas;92203;OK
AL;DELMIRO GOUVEIA;ALAGOAS;AL 2702405;BELA VISTA DE GOIÁS;GO;1.957 km;1956692;1 dia 1 hora;90941;OK
AL;OLHO D'ÁGUA DO CASADO;ALAGOAS;AL 2705804;BELA VISTA DE GOIÁS;GO;1.981 km;1980523;1 dia 2 horas;92812;OK
AL;PIRANHAS;ALAGOAS;AL 2707107;BELA VISTA DE GOIÁS;GO;1.998 km;1997606;1 dia 2 horas;93052;OK
AL;CARNEIROS;ALAGOAS;AL 2701803;BELA VISTA DE GOIÁS;GO;2.042 km;2041875;1 dia 2 horas;95370;OK
AL;DOIS RIACHOS;ALAGOAS;AL 2702504;BELA VISTA DE GOIÁS;GO;2.069 km;2069396;1 dia 3 horas;95662;OK
AL;MARAVILHA;ALAGOAS;AL 2704609;BELA VISTA DE GOIÁS;GO;2.035 km;2034932;1 dia 2 horas;94098;OK
AL;OURO BRANCO;ALAGOAS;AL 2706109;BELA VISTA DE GOIÁS;GO;2.030 km;2030060;1 dia 2 horas;93733;OK
AL;PALESTINA;ALAGOAS;AL 2706208;BELA VISTA DE GOIÁS;GO;2.065 km;2064757;1 dia 3 horas;96723;OK
AL;PÃO DE AÇÚCAR;ALAGOAS;AL 2706406;BELA VISTA DE GOIÁS;GO;1.989 km;1988945;1 dia 3 horas;95587;OK
AL;POÇO DAS TRINCHEIRAS;ALAGOAS;AL 2707206;BELA VISTA DE GOIÁS;GO;2.041 km;2041190;1 dia 2 horas;93987;OK
AL;SANTANA DO IPANEMA;ALAGOAS;AL 2708006;BELA VISTA DE GOIÁS;GO;2.046 km;2046381;1 dia 2 horas;94352;OK
AL;SÃO JOSÉ DA TAPERA;ALAGOAS;AL 2708402;BELA VISTA DE GOIÁS;GO;2.032 km;2031879;1 dia 2 horas;94517;OK
